# Server2 source-like file fingerprint
# Snapshot: 2026-09-26 KST; read-only Slurm probe (server2)
# Root: /home/kimhj/repairable-state-discovery
# Included: *.py, *.sh, *.yaml, *.yml, *.json smaller than 16 MiB
# Excluded: results/, outputs/, cache/, model/, .venv/, .git/ and files >=16 MiB
relative_path,size_bytes,mtime_utc,sha256
repairable_diffusion/src/utils/seed.py,275,2026-09-17T12:15:05.8825181350Z,ae5af1fbae8a7fde198517cedb17b06abad9c19ac8d34c86f43ee1ccc3c3b64c
scripts/aggregate_protocol_report.sh,1420,2026-09-17T12:23:02.6053255780Z,76d79596b407276c22c7542ad1bb6ce0d607686538c3be6036329cc06aa01fd1
scripts/audit_full_paper_ready.py,10662,2026-09-17T12:39:44.9421455740Z,de2a051be82f9f682e65f957f018622576063c581ce1c2ae4128b8059469d509
scripts/build_benchmark_complete_report.sh,4202,2026-09-17T12:31:32.7557679800Z,0b54c41efea69b36fc68136ee82bec6f31c4e45f11702717f392820c039a4b24
scripts/build_final_report.sh,1801,2026-09-17T12:15:05.8865180570Z,80a326a50f70bd98833777556444aa659b93dcf5e99d6c4584a8aae0275a812c
scripts/build_paper_complete_report.sh,3226,2026-09-17T12:15:05.8865180570Z,4cda5c23a3e2ab6e9b78607398845a6a8c4ec6c5ab58668978af37cc82195a54
scripts/build_submission_report.sh,2022,2026-09-17T12:15:05.8865180570Z,2a49de73a52967ceb7224a1504efdcd17aa97173a90c029de73a7f7a828deca1
scripts/full_paper_pipeline.sh,1643,2026-09-17T12:22:48.8295864870Z,80188e18c243fb9dcd5a2289c589969807fa057531dce174398373478464b60f
scripts/monitor_full_paper_suite.sh,1594,2026-09-17T13:18:40.1949059750Z,5d867e78d27dcbb7f9f1189471d370f94f60477c33c24f205c2a0f3308336f2a
scripts/preflight_rsync_nodes.sh,1545,2026-09-17T13:40:20.8632061330Z,ca4846251375c70003ec0a47627eb815dbcad04281bcf2b7e222f98d1f504142
scripts/pull_run_artifacts.sh,2356,2026-09-17T13:54:02.8962729540Z,85051c3b0f15f3782bfbc157bd5cb0014ef4e0f249fde7151760f708d0fe2337
scripts/render_full_paper_figures.py,5630,2026-09-17T12:31:32.7557679800Z,d094d41e9eeeb83338207136c864a6709a1e1561a10a770303a71a0dcfbfad6e
scripts/render_paper_artifacts.py,8603,2026-09-17T12:31:45.2195362710Z,ad0f91dd97b23b4260d18bf2b949275aedc82a8080d0d12b7f59660eeb01df92
scripts/rsync_node_workspace.sh,2555,2026-09-17T13:40:20.8632061330Z,4fea6651a71e8af82458eae0c9e837c17988c7a49bc0bfbe28b2c7af87e90bcc
scripts/run_phase1_oracle.sh,2167,2026-09-17T12:15:05.8865180570Z,79ac72162639394135bc5aaf7579f25b17c6d89915ed4b5cd8327f5eeac4b3b1
scripts/run_protocol_phase1.sh,3753,2026-09-17T12:15:05.8865180570Z,ab49d17ca390a03ddfe29101cf67ab65c2585986588498e9ec72582267221867
scripts/run_protocol_repairability_final.sh,8204,2026-09-17T13:50:47.4678350210Z,6dae75f0544a39e7393c46ab1d7eb5aca5381cf03fb7d5312e4cd2b5fab838d2
scripts/run_protocol_repairability_pilot.sh,3551,2026-09-17T12:15:05.8865180570Z,79181d394132a5bb1edd9b3539f1d928276311130404a1ca92ab4936b1d3cc81
scripts/run_protocol_repairability_stage2.sh,3761,2026-09-17T12:15:05.8865180570Z,87689114106d045c2cc1b61921420375566eb5bba5bc578c4dc9b9dbcd20a8df
scripts/submit_benchmark_complete_suite.sh,9605,2026-09-17T12:24:16.1319362660Z,4955d3d7f00c670c35b586f262da2bbbd4ab77f22b4442b98e7144de501a80d9
scripts/submit_final_suite.sh,1041,2026-09-17T12:15:05.8865180570Z,d98113ca19048bebee80accda8725fc2a2aa52f72c638bc5e7797bd21d78a29a
scripts/submit_followup_reports.sh,1542,2026-09-17T12:15:05.8865180570Z,815b71bfba4c33fd2a22ce01d406966aab6028746e2b5a740a2aa320fd118431
scripts/submit_paper_complete_suite.sh,3703,2026-09-17T12:15:05.8865180570Z,9fb94ea72244b978adb307885e3b233c57368748444f28350a2d4bbb5bbb3e53
scripts/submit_submission_ready_suite.sh,1296,2026-09-17T12:15:05.8865180570Z,299f9e950bb6f1c7224280fc99910675cb48924dea127d8f322cbc22ce8fcba7
scripts/sync_run_artifacts.sh,1825,2026-09-17T13:32:58.2833382960Z,61cf0275be32f820fda36c21e7e4950177c301e13ff307ad6a7bcc77e0a479f0
tests/test_dream_backend_tokens.py,1987,2026-09-17T12:15:05.8865180570Z,10ea7b4ed653a32c7958b3668f411b0b34ac37195aae75c6ea16eeffea570159
